"eventID","fieldNumber"
"a712b960-19b2-4f1c-83ce-632fa6c8ac0a","NTNU-VM_HK_2019_NVE:vatnLnr:365"
"8ff7ce1d-29c1-4f96-ae3f-f605c339c59f","NTNU-VM_HK_2019_NVE:vatnLnr:352"
"79e59492-3c68-4aa9-9a11-efd54a1f5a7c","NTNU-VM_HK_2019_NVE:vatnLnr:353"
"0774b44e-7331-4b21-b4eb-979982ef8586","NTNU-VM_HK_2019_NVE:vatnLnr:366"
"88116dd5-6428-4d28-8253-491d436c07f0","NTNU-VM_HK_2019_NVE:vatnLnr:362"
"1a28ce68-5d43-4e4c-9981-2bbd3e1a76b5","NTNU-VM_HK_2019_NVE:vatnLnr:363"
"9cdbd5a7-34d4-497b-baed-95cc993ce377","NTNU-VM_HK_2019_NVE:vatnLnr:3100"
"3e2c4a63-faab-427d-9222-62221de98b0c","NTNU-VM_HK_2019_NVE:vatnLnr:357"
"cf94c24a-56a1-4094-b9d1-7f670f64543c","NTNU-VM_HK_2019_NVE:vatnLnr:3059"
"e2158d78-51f9-4443-88f9-c8eb0f1512a6","NTNU-VM_HK_2019_NVE:vatnLnr:3044"
"e868ba99-8ec7-465e-bb82-797f164214a6","NTNU-VM_HK_2019_NVE:vatnLnr:356"
"ecdb877c-e736-42a1-9d0c-3aa5f2bd76ee","NTNU-VM_HK_2019_NVE:vatnLnr:3141"
"aab3669a-2651-4432-a67a-a59beeeabaa2","NTNU-VM_HK_2019_NVE:vatnLnr:121"
"18bc680d-a7a7-4afb-9b07-4ebd67d4abe5","NTNU-VM_HK_2019_NVE:vatnLnr:120"
"b6afc954-e818-4afd-8bd2-7871055526c6","NTNU-VM_HK_2019_NVE:vatnLnr:4139"
"f6f3d923-d9aa-424b-ab09-42546c18ea4d","NTNU-VM_HK_2019_NVE:vatnLnr:4118"
"70044549-cdb5-4807-be89-6ae8fc5a6ba3","NTNU-VM_HK_2019_NVE:vatnLnr:4104"
"a41e42a7-5221-4447-ae17-02c13cbbbbc1","NTNU-VM_HK_2019_NVE:vatnLnr:153"
"540c466b-bfd5-4933-a63b-22295171bdd2","NTNU-VM_HK_2019_NVE:vatnLnr:253"
"55228681-4ec3-4c93-82d0-2d2ba1f26c66","NTNU-VM_HK_2019_NVE:vatnLnr:3672"
"726d8cba-339f-4af1-87fb-c94a6f71881b","NTNU-VM_HK_2019_NVE:vatnLnr:3648"
"5e91933a-63e3-4574-a9b3-d3f074399985","NTNU-VM_HK_2019_NVE:vatnLnr:118"
"d01cc165-9df9-46a3-acf3-358f204ccdc3","NTNU-VM_HK_2019_NVE:vatnLnr:4427"
"f897dae0-510b-43c0-ae67-d43ecd2453f5","NTNU-VM_HK_2019_NVE:vatnLnr:33194"
"7161a510-6197-4aca-b6d9-45fbd6370858","NTNU-VM_HK_2019_NVE:vatnLnr:196"
"b8be8d7d-029f-4722-b902-7855ea2aa18e","NTNU-VM_HK_2019_NVE:vatnLnr:141"
"f6b4ee6e-c3b8-410f-9bd8-277e47ee9d09","NTNU-VM_HK_2019_NVE:vatnLnr:4372"
"c18316a3-8f60-48f2-9c7a-d535053b7b70","NTNU-VM_HK_2019_NVE:vatnLnr:4326"
"27374848-f281-4261-a61c-1fb5ca7ae77e","NTNU-VM_HK_2019_NVE:vatnLnr:4280"
"8a528331-de18-4efc-aae3-8916cf49871b","NTNU-VM_HK_2019_NVE:vatnLnr:355"
"33794196-6a81-497e-90d2-4e1f38ef91b6","NTNU-VM_HK_2019_NVE:vatnLnr:4158"
"14c7616e-ac3e-4b44-8da2-3455f09b664c","NTNU-VM_HK_2019_NVE:vatnLnr:4228"
"b08495a1-23f2-4027-bf0d-bac7592bcb28","NTNU-VM_HK_2019_NVE:vatnLnr:4156"
"76c0dbae-3003-442b-b217-43f0fb6bedb5","NTNU-VM_HK_2019_NVE:vatnLnr:4229"
"ca591be5-66d2-4e9a-8018-62d27add9298","NTNU-VM_HK_2019_NVE:vatnLnr:4385"
"e35f3326-b8d8-419e-bfe1-d04aea9cda87","NTNU-VM_HK_2019_NVE:vatnLnr:292"
"66c28318-2d80-44b5-b90e-ac461e974b02","NTNU-VM_HK_2019_NVE:vatnLnr:5508"
"da582642-4c63-45ec-a840-2f09dc834d13","NTNU-VM_HK_2019_NVE:vatnLnr:3274"
"63ecaa67-baf7-4e3c-8610-32e5c9715c1c","NTNU-VM_HK_2019_NVE:vatnLnr:3280"
"4a6e6ffe-7b59-44a5-893f-ded694a6a904","NTNU-VM_HK_2019_NVE:vatnLnr:137"
"2779c663-3299-41d4-8978-a42e0125e8e7","NTNU-VM_HK_2019_NVE:vatnLnr:3150"
"eaa32846-b41d-4b8b-8718-b24ac0b15430","NTNU-VM_HK_2019_NVE:vatnLnr:326"
"b3c1bd7c-02d8-401c-81ff-acf5b5c1fcaa","NTNU-VM_HK_2019_NVE:vatnLnr:325"
"a8c5b57a-9522-40ea-8ac8-1dc3bc7d5d32","NTNU-VM_HK_2019_NVE:vatnLnr:3180"
"78b99612-7286-48c6-9f40-81b754646eda","NTNU-VM_HK_2019_NVE:vatnLnr:3211"
"08ae8772-1d09-42f8-8345-88d8bbf18586","NTNU-VM_HK_2019_NVE:vatnLnr:3177"
"8fbb853c-d0eb-4bf3-88a7-c37369e21c11","NTNU-VM_HK_2019_NVE:vatnLnr:341"
"ef0fdea7-835a-4510-a097-5ba556c6a84f","NTNU-VM_HK_2019_NVE:vatnLnr:330"
"269ee641-b82d-40c1-bbc4-a7d4ab4995e9","NTNU-VM_HK_2019_NVE:vatnLnr:3279"
"f3e3d7e8-35b7-44ac-ae87-34c2b0bd3586","NTNU-VM_HK_2019_NVE:vatnLnr:3271"
"49dccaf2-531b-4dd4-bfd3-b1f2c78b4bc9","NTNU-VM_HK_2019_NVE:vatnLnr:3296"
"3d09fa8f-d005-458e-a2dc-b8b09f1b847c","NTNU-VM_HK_2019_NVE:vatnLnr:3268"
"81bec67a-0dea-4ec6-8022-1181afd239c9","NTNU-VM_HK_2019_NVE:vatnLnr:80166"
"2c880531-c7e4-4add-88be-ce255aa021c7","NTNU-VM_HK_2019_NVE:vatnLnr:327"
"e7692520-1e7f-42eb-a960-1ac9726e5df2","NTNU-VM_HK_2019_NVE:vatnLnr:324"
"05f989bf-4bf6-40d2-b8d1-903aee11f461","NTNU-VM_HK_2019_NVE:vatnLnr:336"
"40da0926-8104-4f28-be58-b78f30b3a192","NTNU-VM_HK_2019_NVE:vatnLnr:3171"
"3664c563-71d7-4728-8db6-f4f517cf2a21","NTNU-VM_HK_2019_NVE:vatnLnr:3165"
"72c3d596-6449-4beb-a1b9-7eb4bb763090","NTNU-VM_HK_2019_NVE:vatnLnr:3210"
"a306700f-61a7-48e9-9dd6-503a32f6c5a1","NTNU-VM_HK_2019_NVE:vatnLnr:3199"
"8bf85eb4-3e4c-4e3c-9786-ee90cc38be0b","NTNU-VM_HK_2019_NVE:vatnLnr:3205"
"51a5be97-ef46-463e-81d8-a4f4d5704777","NTNU-VM_HK_2019_NVE:vatnLnr:3192"
"df65552e-6fdd-4e50-aab9-f6954d1a0b91","NTNU-VM_HK_2019_NVE:vatnLnr:340"
"2af5fe17-0075-4a39-ba30-9978d9e022f8","NTNU-VM_HK_2019_NVE:vatnLnr:3122"
"53e2c461-e55a-46bd-b6d9-6f81d45b27be","NTNU-VM_HK_2019_NVE:vatnLnr:354"
"55fb3732-9abe-4f49-8a4c-cf51018b0264","NTNU-VM_HK_2019_NVE:vatnLnr:5534"
"d0affab7-30b6-489c-ae42-bb1e55f5f694","NTNU-VM_HK_2019_NVE:vatnLnr:5509"
"12a82fba-3696-4520-a76a-98fffc55ba48","NTNU-VM_HK_2019_NVE:vatnLnr:5427"
