"occurrenceID","eventID","scientificName"
"urn:uuid:538d82e6-e1e5-4956-a36b-e57cc93f650d","urn:uuid:00a8466f-3073-42cc-8b4f-d7862a295d62","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:416e2e5c-7138-472e-b4d1-8965b83a2397","urn:uuid:00a8466f-3073-42cc-8b4f-d7862a295d62","Lota lota (Linnaeus, 1758)"
"urn:uuid:9b02f67d-2095-4566-8e77-bc7118906e0e","urn:uuid:00a8466f-3073-42cc-8b4f-d7862a295d62","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:71774b47-818d-4644-b88b-a6ad47ef9e27","urn:uuid:00a8466f-3073-42cc-8b4f-d7862a295d62","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:61803c83-3815-434d-bc5d-63e0e9e1034f","urn:uuid:00a8466f-3073-42cc-8b4f-d7862a295d62","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:3393dbde-9226-42db-abd5-a4ed314f3b99","urn:uuid:0155eca5-5cce-490f-850d-ff997d2b4ee3","Esox lucius Linnaeus, 1758"
"urn:uuid:abbe262d-ca73-46ea-89fc-169e651437a7","urn:uuid:0155eca5-5cce-490f-850d-ff997d2b4ee3","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:a00057f7-5fd1-4fbd-a35e-b8cb842f940f","urn:uuid:0155eca5-5cce-490f-850d-ff997d2b4ee3","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:211cb37c-3318-43a6-9f6e-cff505c91e0d","urn:uuid:0155eca5-5cce-490f-850d-ff997d2b4ee3","Lota lota (Linnaeus, 1758)"
"urn:uuid:e90916e0-6b58-4e87-80d2-a293ea66eebd","urn:uuid:0155eca5-5cce-490f-850d-ff997d2b4ee3","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:19a7944f-cea0-4399-9da4-836ef22284af","urn:uuid:0155eca5-5cce-490f-850d-ff997d2b4ee3","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:17aed15b-b744-4b9d-b2da-e2a3aaf461ac","urn:uuid:0155eca5-5cce-490f-850d-ff997d2b4ee3","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:b3c173cd-a8df-4faf-a0d7-8fff6de5ec8a","urn:uuid:0164544a-97e9-4b60-bf9b-0e8ee6a4dd36","Esox lucius Linnaeus, 1758"
